Area;Status
Area 1;Codex • +1% Increased Codex Drop Rate
Area 2;Codex • +1% Increased Codex Drop Rate
Area 3;Codex • +1% Increased Codex Drop Rate
Area 4;Conjuring Darkness • +1% Increased Spawn Chance of Chaos Pillars
Area 5;Lucky Hit • +1% Chance to do a Lucky Hit Rolling Till Failior, Dropping Additional Ore for each Successful Roll
Area 6;Codex • +1% Increased Codex Drop Rate
Area 7;Codex • +1% Increased Codex Drop Rate
Area 8;Codex • +1% Increased Codex Drop Rate
Area 9;Codex • +1% Increased Codex Drop Rate
Area 10;Codex • +1% Increased Codex Drop Rate
Area 11;Codex • +1% Increased Codex Drop Rate
Area 12;Finding the Key • +15% Monster Within the Dungeon have an Increased Chance of Dropping a Key for that Dungeon
Area 13;Cursed Lands • +3% Increased Chance to Spawn Cursed Spirit in the Zone
Area 14;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 15;Unholy Sieging • +3% Chance to Spawn an Unholy Siege in the Zone
Area 16;Codex • +1% Increased Codex Drop Rate
Area 17;Codex • +1% Increased Codex Drop Rate
Area 18;Codex • +1% Increased Codex Drop Rate
Area 19;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 20;Real of Angels • +1% Chance for Overworld Monsters to Spawn with the Fallen Angel Affix
Area 21;Fortune of the Garden • +10% Dragon Monsters in Ruby Gardens gain Increased Magic Find
Area 22;Fortune of the Garden • +10% Dragon Monsters in Ruby Gardens gain Increased Magic Find
Area 23;Fortune of the Garden • +10% Dragon Monsters in Ruby Gardens gain Increased Magic Find
Area 24;Fortune of the Garden • +10% Dragon Monsters in Ruby Gardens gain Increased Magic Find
Area 25;Magic Find • +1% Increased Total Magic Find
Area 26;Magic Find • +1% Increased Total Magic Find
Area 27;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 28;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 29;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 30;Ruby Treasure • +1% Chance to Increase the Amount of Times Chests are Opened Within Ruby Gardens
Area 31;Ruby Treasure • +1% Chance to Increase the Amount of Times Chests are Opened Within Ruby Gardens
Area 32;Ruby Treasure • +1% Chance to Increase the Amount of Times Chests are Opened Within Ruby Gardens
Area 33;Garden Goblins • +1% Chance to Spawn Treasure Goblins when Opening a Ruby Chest Within Ruby Gardens
Area 34;Garden Goblins • +1% Chance to Spawn Treasure Goblins when Opening a Ruby Chest Within Ruby Gardens
Area 35;Garden Goblins • +1% Chance to Spawn Treasure Goblins when Opening a Ruby Chest Within Ruby Gardens
Area 36;Ruby Treasure • +1% Chance to Increase the Amount of Times Chests are Opened Within Ruby Gardens
Area 37;Ruby Treasure • +1% Chance to Increase the Amount of Times Chests are Opened Within Ruby Gardens
Area 38;Ruby Treasure • +1% Chance to Increase the Amount of Times Chests are Opened Within Ruby Gardens
Area 39;Ruby Treasure • +1% Chance to Increase the Amount of Times Chests are Opened Within Ruby Gardens
Area 40;Garden Goblins • +1% Chance to Spawn Treasure Goblins when Opening a Ruby Chest Within Ruby Gardens
Area 41;Garden Goblins • +1% Chance to Spawn Treasure Goblins when Opening a Ruby Chest Within Ruby Gardens
Area 42;Dragon's Slumber • +100% Spawn Five Ruby Chest where Endrixia Would Spawn. Endrixia no Longer Spawns
Area 43;Fortune of the Garden • +10% Dragon Monsters in Ruby Gardens gain Increased Magic Find
Area 44;Fortune of the Garden • +10% Dragon Monsters in Ruby Gardens gain Increased Magic Find
Area 45;Chaotic Endrixia • +1% Endrixia Gains Increased Life and Damage but has a Chance to Drop an Unholy or Angelic Charm
Area 46;Garden's Blessing • +25% Chance to Spawn Up to 10 Additional Ruby Chest in Ruby Gardens
Area 47;Ruby Treasure • +1% Chance to Increase the Amount of Times Chests are Opened Within Ruby Gardens
Area 48;Material Unstability • +1% Monster have an Increased Chance of Dropping Unstable Dust when Killed
Area 49;Material Unstability • +1% Monster have an Increased Chance of Dropping Unstable Dust when Killed
Area 50;Material Unstability • +1% Monster have an Increased Chance of Dropping Unstable Dust when Killed
Area 51;Magic Find • +1% Increased Total Magic Find
Area 52;Magic Find • +1% Increased Total Magic Find
Area 53;Magic Find • +1% Increased Total Magic Find
Area 54;Essence Vaults • +1% Monsters have an Increased Chance of Dropping Essence Vaults when Killed
Area 55;Essence Vaults • +1% Monsters have an Increased Chance of Dropping Essence Vaults when Killed
Area 56;Essence Vaults • +1% Monsters have an Increased Chance of Dropping Essence Vaults when Killed
Area 57;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 58;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 59;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 60;Material Unstability • +1% Monster have an Increased Chance of Dropping Unstable Dust when Killed
Area 61;Material Unstability • +1% Monster have an Increased Chance of Dropping Unstable Dust when Killed
Area 62;Unstable Conquest • +100% Guaranteed Tier 4 KeyDungeon When Being Warped Into a Dungeon
Area 63;Mirror of Unstability • +5% Chance to Duplicate any Unique Item Drops Within the Unstable Rift, The Additional Item is Mirrored
Area 64;Warped Fortune • +50% Increased Total Magic Find Inside Unstable Rift
Area 65;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 66;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 67;Not Unstable Enough • +1% Chance for Monster Pack to have Extra Mosnters in Unstable Rift
Area 68;Not Unstable Enough • +1% Chance for Monster Pack to have Extra Mosnters in Unstable Rift
Area 69;Orbital Stability • +1% Ancient Monsters Within the Unstable Rift have a Chance to be Respawned as Orb Goblins
Area 70;Orbital Stability • +1% Ancient Monsters Within the Unstable Rift have a Chance to be Respawned as Orb Goblins
Area 71;Chaotic Fortune • +8% Increased Chance to Warp Into Rift of Fortune When Entering an Unstable Rift
Area 72;Glitched Timeline • +8% Chance to be Warped Into Asgard when Entering an Unstable Rift
Area 73;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 74;Unstable Presence • +1% Increased Chance to Spawn an Unstable Rift on you Maps
Area 75;Unholy Sieging • +3% Chance to Spawn an Unholy Siege in the Zone
Area 76;Unholy Sieging • +3% Chance to Spawn an Unholy Siege in the Zone
Area 77;Unholy Sieging • +3% Chance to Spawn an Unholy Siege in the Zone
Area 78;Magic Find • +1% Increased Total Magic Find
Area 79;Magic Find • +1% Increased Total Magic Find
Area 80;Unholy Magic Find • +3% Increased Magic Find on Monsters from Unholy Siege
Area 81;Unholy Magic Find • +3% Increased Magic Find on Monsters from Unholy Siege
Area 82;Unholy Magic Find • +3% Increased Magic Find on Monsters from Unholy Siege
Area 83;Magic Find • +1% Increased Total Magic Find
Area 84;Magic Find • +1% Increased Total Magic Find
Area 85;Magic Find • +1% Increased Total Magic Find
Area 86;Unholy Cards • +3% Increased Chance for Unholy Siege Monsters to Drop Tarot Cards
Area 87;Unholy Cards • +3% Increased Chance for Unholy Siege Monsters to Drop Tarot Cards
Area 88;Unholy Cards • +3% Increased Chance for Unholy Siege Monsters to Drop Tarot Cards
Area 89;Unholy Sieging • +3% Chance to Spawn an Unholy Siege in the Zone
Area 90;Unholy Sieging • +3% Chance to Spawn an Unholy Siege in the Zone
Area 91;Long Lasting Siege • +1 to Maximum Unholy Siege Waves
Area 92;Siege Swarm • +1 Additional Monster Pack per Wave
Area 93;Siege Swarm • +1 Additional Monster Pack per Wave
Area 94;Unholy Magic Find • +3% Increased Magic Find on Monsters from Unholy Siege
Area 95;Unholy Magic Find • +3% Increased Magic Find on Monsters from Unholy Siege
Area 96;Unholy Sieging • +3% Chance to Spawn an Unholy Siege in the Zone
Area 97;Unholy Cards • +3% Increased Chance for Unholy Siege Monsters to Drop Tarot Cards
Area 98;Unholy Cards • +3% Increased Chance for Unholy Siege Monsters to Drop Tarot Cards
Area 99;Unholy Cards • +3% Increased Chance for Unholy Siege Monsters to Drop Tarot Cards
Area 100;Unholy Cards • +3% Increased Chance for Unholy Siege Monsters to Drop Tarot Cards
Area 101;Lucky Hit • +1% Chance to do a Lucky Hit Rolling Till Failior, Dropping Additional Ore for each Successful Roll
Area 102;Lucky Hit • +1% Chance to do a Lucky Hit Rolling Till Failior, Dropping Additional Ore for each Successful Roll
Area 103;Abudance of Materials • +1% Increases the Chance of an Ore Node to Spawn as a Rich or an Overflowing Vein
Area 104;Magic Find • +1% Increased Total Magic Find
Area 105;Magic Find • +1% Increased Total Magic Find
Area 106;Abudance of Materials • +1% Increases the Chance of an Ore Node to Spawn as a Rich or an Overflowing Vein
Area 107;Abudance of Materials • +1% Increases the Chance of an Ore Node to Spawn as a Rich or an Overflowing Vein
Area 108;Abudance of Materials • +1% Increases the Chance of an Ore Node to Spawn as a Rich or an Overflowing Vein
Area 109;Magic Find • +1% Increased Total Magic Find
Area 110;Magic Find • +1% Increased Total Magic Find
Area 111;Magic Find • +1% Increased Total Magic Find
Area 112;Lucky Hit • +1% Chance to do a Lucky Hit Rolling Till Failior, Dropping Additional Ore for each Successful Roll
Area 113;Lucky Hit • +1% Chance to do a Lucky Hit Rolling Till Failior, Dropping Additional Ore for each Successful Roll
Area 114;Lucky Hit • +1% Chance to do a Lucky Hit Rolling Till Failior, Dropping Additional Ore for each Successful Roll
Area 115;Abudance of Materials • +1% Increases the Chance of an Ore Node to Spawn as a Rich or an Overflowing Vein
Area 116;Abudance of Materials • +1% Increases the Chance of an Ore Node to Spawn as a Rich or an Overflowing Vein
Area 117;Goblin Patrol • +1% Chance to Get Ambushed by Ore Goblins That Drop Ore and Materials Based on the Mined Node 
Area 118;Divine Luck • +10% Chance for a Gold and Ruby Ore Node to Randomly Drop any Tarot Card
Area 119;Abudance of Materials • +1% Increases the Chance of an Ore Node to Spawn as a Rich or an Overflowing Vein
Area 120;Abudance of Materials • +1% Increases the Chance of an Ore Node to Spawn as a Rich or an Overflowing Vein
Area 121;Lucky Hit • +1% Chance to do a Lucky Hit Rolling Till Failior, Dropping Additional Ore for each Successful Roll
Area 122;Lucky Hit • +1% Chance to do a Lucky Hit Rolling Till Failior, Dropping Additional Ore for each Successful Roll
Area 123;Pristine Extraction • +10% Chance to Drop Pristine Gem from an Overflowing Vein
Area 124;Jewelry Within • +1% Chance to Drop an Uncut Jewel when Mining an Ore Node
Area 125;Jewelry Within • +1% Chance to Drop an Uncut Jewel when Mining an Ore Node
Area 126;Careful Extraction • +10% Chance for the Ore Node to Not Break Upon Mining and Become Mineable Again 
Area 127;Swift Labour • +10% Gain Movement Phasing and Stacking Movement Speed after Mining a Node
Area 128;Swift Labour • +10% Gain Movement Phasing and Stacking Movement Speed after Mining a Node
Area 129;Swift Labour • +10% Gain Movement Phasing and Stacking Movement Speed after Mining a Node
Area 130;Magic Find • +1% Increased Total Magic Find
Area 131;Magic Find • +1% Increased Total Magic Find
Area 132;Conjuring Darkness • +1% Increased Spawn Chance of Chaos Pillars
Area 133;Conjuring Darkness • +1% Increased Spawn Chance of Chaos Pillars
Area 134;Density of Evil • +1% Inreases the Chance of Higher Tier Chaos Pillars
Area 135;Density of Evil • +1% Inreases the Chance of Higher Tier Chaos Pillars
Area 136;Density of Evil • +1% Inreases the Chance of Higher Tier Chaos Pillars
Area 137;Density of Evil • +1% Inreases the Chance of Higher Tier Chaos Pillars
Area 138;Magic Find • +1% Increased Total Magic Find
Area 139;Magic Find • +1% Increased Total Magic Find
Area 140;Magic Find • +1% Increased Total Magic Find
Area 141;Dwelling Evil • +1% Increased Amount of Monsters Spawned by Chaos Pillars
Area 142;Dwelling Evil • +1% Increased Amount of Monsters Spawned by Chaos Pillars
Area 143;Dwelling Evil • +1% Increased Amount of Monsters Spawned by Chaos Pillars
Area 144;Relic Infused Chaos • +5% Chance for a Chaos Pillars to Have the Relic Affix
Area 145;Glimmering Darkness • +5% Chance for a Chaos Pillars to Have a Unique Items Affix
Area 146;Step in the Dark • +5% Gain Increased Movement Speed for a Short Duration when Opening a Pillar
Area 147;Step in the Dark • +5% Gain Increased Movement Speed for a Short Duration when Opening a Pillar
Area 148;Dwelling Evil • +1% Increased Amount of Monsters Spawned by Chaos Pillars
Area 149;Dwelling Evil • +1% Increased Amount of Monsters Spawned by Chaos Pillars
Area 150;Dwelling Evil • +1% Increased Amount of Monsters Spawned by Chaos Pillars
Area 151;Dwelling Evil • +1% Increased Amount of Monsters Spawned by Chaos Pillars
Area 152;Dwelling Evil • +1% Increased Amount of Monsters Spawned by Chaos Pillars
Area 153;Dwelling Evil • +1% Increased Amount of Monsters Spawned by Chaos Pillars
Area 154;Density of Evil • +1% Inreases the Chance of Higher Tier Chaos Pillars
Area 155;Density of Evil • +1% Inreases the Chance of Higher Tier Chaos Pillars
Area 156;Evil Within The Chaos • +3% Chance for a Chaos Pillar to Have Boss Materials Affix
Area 157;Player of Darkness • +100% Gain a Randow Shrine Buff When Opening a Chaos Pillar
Area 158;Chaotic Aftershock • +10% Chance for a Chaos Pillar to Activate Twice
Area 159;Chaos Multitude • +3 Increased Amount of Chaos Pillars
Area 160;Hierarchy of Chaos • +1% Chance for Monstersto Spawn as Higher Rarity
Area 161;Hierarchy of Chaos • +1% Chance for Monstersto Spawn as Higher Rarity
Area 162;Hierarchy of Chaos • +1% Chance for Monstersto Spawn as Higher Rarity
Area 163;Hierarchy of Chaos • +1% Chance for Monstersto Spawn as Higher Rarity
Area 164;Hierarchy of Chaos • +1% Chance for Monstersto Spawn as Higher Rarity
Area 165;Hierarchy of Chaos • +1% Chance for Monstersto Spawn as Higher Rarity
Area 166;The Tower's Presence • +1% Increased Chance to Find a Chaos Tower
Area 167;The Tower's Presence • +1% Increased Chance to Find a Chaos Tower
Area 168;The Tower's Presence • +1% Increased Chance to Find a Chaos Tower
Area 169;Soul Valuation • +1% Increased Monster Magic Find in Chaos Tower Floors
Area 170;Magic Find • +1% Increased Total Magic Find
Area 171;Magic Find • +1% Increased Total Magic Find
Area 172;Soul Valuation • +1% Increased Monster Magic Find in Chaos Tower Floors
Area 173;Soul Valuation • +1% Increased Monster Magic Find in Chaos Tower Floors
Area 174;Soul Valuation • +1% Increased Monster Magic Find in Chaos Tower Floors
Area 175;Magic Find • +1% Increased Total Magic Find
Area 176;Magic Find • +1% Increased Total Magic Find
Area 177;Magic Find • +1% Increased Total Magic Find
Area 178;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 179;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 180;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 181;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 182;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 183;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 184;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 185;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 186;Tower Revelation • +100% Chaos Tower is Always Revealed on the Map
Area 187;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 188;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 189;Raging Chaos • +25% Increased Monster Movement Speed Inside Chaos Tower
Area 190;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 191;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 192;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 193;More Ways of Suffering • +1 Gain an Additional Debuff Option
Area 194;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 195;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 196;Whispering of the Colosseum • +15% Chance per Floor to Drop a Colosseum Fragment
Area 197;Amplified Magic Find • +10% Increased Total Magic Find Applied to the Chaos Tower Chest
Area 198;Divine Blessing • +1 Gain to Additional Chaos Tower Buff
