Area;Status
Area 199;Ying & Yang • +2 Gain Two Additional Chaos Tower Buffs Doubling the Effectiveness of all Your Debuffs
Area 200;Chaotic Population Increase • +1% Increased Amount of Monsters per Floor
Area 201;Chaotic Population Increase • +1% Increased Amount of Monsters per Floor
Area 202;The Tower's Presence • +1% Increased Chance to Find a Chaos Tower
Area 203;The Tower's Presence • +1% Increased Chance to Find a Chaos Tower
Area 204;Safe Haven • +1% Chance per Floor for Debuffs to be Disable
Area 205;Chaotic Population Increase • +1% Increased  Amount of Monsters per Floor
Area 206;Chaotic Population Increase • +1% Increased Amount of Monsters per Floor
Area 207;Magic Find • +1% Increased Total Magic Find
Area 208;Magic Find • +1% Increased Total Magic Find
Area 209;Magic Find • +1% Increased Total Magic Find
Area 210;Timecursed Entities • +3% Increased Life Time Replenished per Monster Kill
Area 211;Timecursed Entities • +3% Increased Life Time Replenished per Monster Kill
Area 212;Timecursed Entities • +3% Increased Life Time Replenished per Monster Kill
Area 213;Magic Find • +1% Increased Total Magic Find
Area 214;Magic Find • +1% Increased Total Magic Find
Area 215;Timecursed Entities • +3% Increased Life Time Replenished per Monster Kill
Area 216;Time Depletion • +5% Decreased wait Time Between Spawns
Area 217;Time Depletion • +5% Decreased wait Time Between Spawns
Area 218;Time Depletion • +5% Decreased wait Time Between Spawns
Area 219;Time Depletion • +5% Decreased wait Time Between Spawns
Area 220;Time Depletion • +5% Decreased wait Time Between Spawns
Area 221;Time Depletion • +5% Decreased wait Time Between Spawns
Area 222;Stacked Magic Find • +3% Increased Magic Find from Wave Clears
Area 223;Stacked Magic Find • +3% Increased Magic Find from Wave Clears
Area 224;Cursed Swarm • +1 Chance for an Additional Monster Pack per Spawn
Area 225;Cursed Lifespan • +10% Increased Maximum Life Time
Area 226;Timecursed Entities • +3% Increased Life Time Replenished per Monster Kill
Area 227;Timecursed Entities • +3% Increased Life Time Replenished per Monster Kill
Area 228;Timecursed Entities • +3% Increased Life Time Replenished per Monster Kill
Area 229;Timecursed Entities • +3% Increased Life Time Replenished per Monster Kill
Area 230;Timecursed Pustule • +1 Additional Pustule per Spawn
Area 231;Cursed Lands • +3% Increased Chance to Spawn Cursed Spirit in the Zone
Area 232;Cursed Lands • +3% Increased Chance to Spawn Cursed Spirit in the Zone
Area 233;Finding the Key • +15% Monster Within the Dungeon have an Increased Chance of Dropping a Key for that Dungeon
Area 234;Finding the Key • +15% Monster Within the Dungeon have an Increased Chance of Dropping a Key for that Dungeon
Area 235;Valuabre Dungeon • +10% Increases the Magic Find of Monsters Inside Dungeons
Area 236;Magic Find • +1% Increased Total Magic Find
Area 237;Magic Find • +1% Increased Total Magic Find
Area 238;Bypassing the Lock • +1% Chance to not Consume the Dungeon Keys when Entering a Challenge Dungeon
Area 239;Bypassing the Lock • +1% Chance to not Consume the Dungeon Keys when Entering a Challenge Dungeon
Area 240;Bypassing the Lock • +1% Chance to not Consume the Dungeon Keys when Entering a Challenge Dungeon
Area 241;Magic Find • +1% Increased Total Magic Find
Area 242;Magic Find • +1% Increased Total Magic Find
Area 243;Magic Find • +1% Increased Total Magic Find
Area 244;Bypassing the Lock • +1% Chance to not Consume the Dungeon Keys when Entering a Challenge Dungeon
Area 245;Valuabre Dungeon • +10% Increases the Magic Find of Monsters Inside Dungeons
Area 246;Valuabre Dungeon • +10% Increases the Magic Find of Monsters Inside Dungeons
Area 247;Valuabre Dungeon • +10% Increases the Magic Find of Monsters Inside Dungeons
Area 248;Magic Find • +1% Increased Total Magic Find
Area 249;Magic Find • +1% Increased Total Magic Find
Area 250;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 251;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 252;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 253;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 254;Legion of War • +1% Chance for Monsters from Eternal Battlefield to Spawn as Higher Rarity
Area 255;Legion of War • +1% Chance for Monsters from Eternal Battlefield to Spawn as Higher Rarity
Area 256;Legion of War • +1% Chance for Monsters from Eternal Battlefield to Spawn as Higher Rarity
Area 257;Magic Find • +1% Increased Total Magic Find
Area 258;Magic Find • +1% Increased Total Magic Find
Area 259;Magic Find • +1% Increased Total Magic Find
Area 260;Not Challenging Enough? • +100% Increased Challenge Dungeon Buffs and Debuffs
Area 261;Finding the Key • +15% Monster Within the Dungeon have an Increased Chance of Dropping a Key for that Dungeon
Area 262;Finding the Key • +15% Monster Within the Dungeon have an Increased Chance of Dropping a Key for that Dungeon
Area 263;Bypassing the Lock • +1% Chance to not Consume the Dungeon Keys when Entering a Challenge Dungeon
Area 264;Bypassing the Lock • +1% Chance to not Consume the Dungeon Keys when Entering a Challenge Dungeon
Area 265;Bypassing the Lock • +1% Chance to not Consume the Dungeon Keys when Entering a Challenge Dungeon
Area 266;Bypassing the Lock • +1% Chance to not Consume the Dungeon Keys when Entering a Challenge Dungeon
Area 267;Peak Valuation • +200% Increases the Chance od Dropping High Quality Materials from the Challenge Dungeon Chest
Area 268;Colossal Mimicry • +15% Chance for the Challenge Dungeon Chest to Spawn a Colossal Mimic
Area 269;Bypassing the Lock • +1% Chance to not Consume the Dungeon Keys when Entering a Challenge Dungeon
Area 270;Bypassing the Lock • +1% Chance to not Consume the Dungeon Keys when Entering a Challenge Dungeon
Area 271;Bloated Dungeon • +1 Increases the Size of Mosnter Packs in Dungeons
Area 272;Bloated Dungeon • +1 Increases the Size of Mosnter Packs in Dungeons
Area 273;Dwelling Treasure Chest • +20% Chance to Open the Challenge Dungeon Chest an Additional Time 
Area 274;Growing Mayhem • +5% Increases the Amount of Monsters Spawned by the Eternal Battlefield
Area 275;Growing Mayhem • +5% Increases the Amount of Monsters Spawned by the Eternal Battlefield
Area 276;Growing Mayhem • +5% Increases the Amount of Monsters Spawned by the Eternal Battlefield
Area 277;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 278;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 279;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 280;Tokens of Battle • +1% Increased Chance to Drop Battle Fragments from Monster Spawned Eternal Battlefield by
Area 281;Tokens of Battle • +1% Increased Chance to Drop Battle Fragments from Monster Spawned Eternal Battlefield by
Area 282;Mirror Execution • +25% Chance to Clone Sung Lee Inside Eternal Battlefield Double Suffring, Double the Reward
Area 283;Encore of War • +25% Chance to Spawn an Additional Eternal Battlefield Portal Instead of Portal to Town After Killing Sung Lee
Area 284;Spoils of War • +15% Increased Chance to Drop Rare Materials From the Eternal Battlefield Zone
Area 285;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 286;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 287;Growing Mayhem • +5% Increases the Amount of Monsters Spawned by the Eternal Battlefield
Area 288;Growing Mayhem • +5% Increases the Amount of Monsters Spawned by the Eternal Battlefield
Area 289;Never Ending Conflict • +25% Chance Eternal Battlefield to Restart After Cleared. This Effect can Only Occur Once
Area 290;Blitzkrieg • +2% Increases the Speed of Which Eternal Battlefield Opens and Closes Causing Monsters to be Spawned Faster
Area 291;Blitzkrieg • +2% Increases the Speed of Which Eternal Battlefield Opens and Closes Causing Monsters to be Spawned Faster
Area 292;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 293;The Call to War • +1% Increased Chance to Spawn an Ethernal Battlefield in Your Maps
Area 294;The Key to Battle • 1% Chance to Ancient Monsters from Eternal Battlefield Portal Event to Drop a Stack of  Battle Fragments when Killed
Area 295;Real of Angels • +1% Chance for Overworld Monsters to Spawn with the Fallen Angel Affix
Area 296;Real of Angels • +1% Chance for Overworld Monsters to Spawn with the Fallen Angel Affix
Area 297;Real of Angels • +1% Chance for Overworld Monsters to Spawn with the Fallen Angel Affix
Area 298;N/A
Area 299;N/A
Area 300;N/A
Area 301;Magic Find • +1% Increased Total Magic Find
Area 302;Magic Find • +1% Increased Total Magic Find
Area 303;Magic Find • +1% Increased Total Magic Find
Area 304;Magic Find • +1% Increased Total Magic Find
Area 305;Magic Find • +1% Increased Total Magic Find
Area 306;Heimdall's Blessing • +1 Increased the Chance of Overworld Monsters
Area 307;Heimdall's Blessing • +1 Increased the Chance of Overworld Monsters
Area 308;Heimdall's Blessing • +1 Increased the Chance of Overworld Monsters
Area 309;Real of Angels • +1% Chance for Overworld Monsters to Spawn with the Fallen Angel Affix
Area 310;Real of Angels • +1% Chance for Overworld Monsters to Spawn with the Fallen Angel Affix
Area 311;Real of Angels • +1% Chance for Overworld Monsters to Spawn with the Fallen Angel Affix
Area 312;Presence of Evil • +1% Increased the Chance of Chests in Overworld Zones Containing a Mimic
Area 313;Presence of Evil • +1% Increased the Chance of Chests in Overworld Zones Containing a Mimic
Area 314;Vengeful Goblins • +0,25% Ancient Monsters in Overworlds Zones Have a Chance to Respawn as a Randow Goblin when Killed
Area 315;The Guardian's of Hell • +0,50% Chance for Overworld Monsters to Spawn With the Guardian of Hell Affix
Area 316;N/A
Area 317;N/A
Area 318;Sonya's Hunt • +1% Increased the Chance of Overworld Monsters Dropping Dungeon Keys when Killed
Area 319;Sonya's Hunt • +1% Increased the Chance of Overworld Monsters Dropping Dungeon Keys when Killed
Area 320;Back to Basics • +35% Increased Total Magic Find in Overworld Maps but you no Longer Spawn any Mechanics in your Maps
Area 321;Treasure Chests • +1¨Ancient Monsters in Overworld Zones Have a Chance to Drop a Chest when Killed
Area 322;N/A
Area 323;N/A
Area 324;Magic Find • +1% Increased Total Magic Find
Area 325;Magic Find • +1% Increased Total Magic Find
Area 326;Magic Find • +1% Increased Total Magic Find
Area 327;Unholy Luck • +1% Chance to Double the Amount of Prime Evil Parts Dropped From Act Bosses
Area 328;Unholy Luck • +1% Chance to Double the Amount of Prime Evil Parts Dropped From Act Bosses
Area 329;Unholy Luck • +1% Chance to Double the Amount of Prime Evil Parts Dropped From Act Bosses
Area 330;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 331;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 332;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 333;Magic Find • +1% Increased Total Magic Find
Area 334;Magic Find • +1% Increased Total Magic Find
Area 335;Guardians of Evil • +40% Increases the Magic Find of Monsters Inside Act Bosses Dungeons
Area 336;Guardians of Evil • +40% Increases the Magic Find of Monsters Inside Act Bosses Dungeons
Area 337;Magic Find • +1% Increased Total Magic Find
Area 338;Magic Find • +1% Increased Total Magic Find
Area 339;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 340;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 341;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 342;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 343;Dwelling Shadows • +1 Increases the Size of Monster Packs Within the Shadow Realm
Area 344;Dwelling Shadows • +1 Increases the Size of Monster Packs Within the Shadow Realm
Area 345;Dwelling Shadows • +1 Increases the Size of Monster Packs Within the Shadow Realm
Area 346;Magic Find • +1% Increased Total Magic Find
Area 347;Magic Find • +1% Increased Total Magic Find
Area 348;Magic Find • +1% Increased Total Magic Find
Area 349;Guardians of Evil • +40% Increases the Magic Find of Monsters Inside Act Bosses Dungeons
Area 350;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 351;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 352;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 353;Guardians of Evil • +40% Increases the Magic Find of Monsters Inside Act Bosses Dungeons
Area 354;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 355;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 356;The Key of Terror • +1% Chance to Drop a Key of Terror when Killing an Act Boss
Area 357;Manifesting Cycle • +5% Act Bosses Gain the Chance to Drop a Prime Evil Part From the Next Boss in the Cycle
Area 358;Guardians of Evil • +40% Increases the Magic Find of Monsters Inside Act Bosses Dungeons
Area 359;Unkillable Evil • +25% Chance for an Act Boss to Respawn After Being Killed
Area 360;Unholy Luck • +1% Chance to Double the Amount of Prime Evil Parts Dropped From Act Bosses
Area 361;Unholy Luck • +1% Chance to Double the Amount of Prime Evil Parts Dropped From Act Bosses
Area 362;Prime Trasure • +1% Chance to Spawn a Ruby Chest After Killing an Act Boss
Area 363;Prime Trasure • +1% Chance to Spawn a Ruby Chest After Killing an Act Boss
Area 364;Soul Sacrifice • +100% You can no Longer Drop Prime Evil Parts from Act Bosses, But Double the Chances to Drop a Soul Gem
Area 365;Son of Lucifer • +25% Chance to Clone Damien Within Fallen Inoya. Double the Suffering, Double the Reward
Area 366;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 367;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 368;Shadow Carriers • +1% Ancient Monsters Within the Shadow Realm Have a Chance to Respawn as Shadow Goblins
Area 369;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 370;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 371;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 372;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 373;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 374;Dimensional Abudance • +1% Increased Chance to Drop Dimensional Shards from Monster Within the Shadow Realm
Area 375;Dimensional Abudance • +1% Increased Chance to Drop Dimensional Shards from Monster Within the Shadow Realm
Area 376;Key to the Shadow • +1% Chance to the Ancient Monster Within the Shadow Realm to Drop a Stack of Dimensional Shards
Area 377;Black Market Hierarchy • +10% Increases the Chance of Veras to Spawn as a Higher Tier Merchant
Area 378;Dwelling Shadows • +1 Increases the Size of Monster Packs Within the Shadow Realm
Area 379;Dwelling Shadows • +1 Increases the Size of Monster Packs Within the Shadow Realm
Area 380;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 381;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 382;Twice the Shadow • +25% Chance to Clone Shade of Death Within Reaper's Breach. Double the Suffering, Double the Reward
Area 383;Fortune of Shadow • +50% Inceased Total Magic Find in Shadow Realm
Area 384;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 385;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 386;Dimensional Abudance • +1% Increased Chance to Drop Dimensional Shards from Monster Within the Shadow Realm
Area 387;Dimensional Abudance • +1% Increased Chance to Drop Dimensional Shards from Monster Within the Shadow Realm
Area 388;Dimensional Abudance • +1% Increased Chance to Drop Dimensional Shards from Monster Within the Shadow Realm
Area 389;Magic Find • +1% Increased Total Magic Find
Area 390;Magic Find • +1% Increased Total Magic Find
Area 391;Magic Find • +1% Increased Total Magic Find
Area 392;Magic Find • +1% Increased Total Magic Find
Area 393;Magic Find • +1% Increased Total Magic Find
Area 394;N/A